time_s,phase,policy,spin_policy_loaded,x_m,y_m,trunk_z_m,forward_mps,lateral_mps,planar_speed_mps,jaw_z_m,head_pitch_rad,yaw_rate_radps,yaw_delta_deg,upright_score
0.26,settle,walking,True,-1.7978483349846959,-0.6506862858127215,0.11887371342826954,-0.0025723498964455326,0.008543161409266765,0.00892202840471427,0.23121732200351636,0.33861434991669864,0.15018381742938802,0.9273111918697233,0.9963340163230896
0.28,settle,walking,True,-1.797792601516015,-0.6505073074883573,0.11967297100320468,0.0012314617461019423,0.01046134347679886,0.010533575146723666,0.23216895830015163,0.3405815087898718,0.11147472497547413,1.0705885809034292,0.9965118765830994
0.3,settle,walking,True,-1.7976599352239364,-0.6502984248674438,0.1203523058046936,0.005864382938269385,0.011331197190172324,0.012758801550664318,0.23294148224385952,0.3408758670304099,0.07186945611253351,1.1683046174634302,0.9966685771942139
0.32,settle,walking,True,-1.7974629567146447,-0.6500857256010797,0.12089196836925968,0.009231269739656158,0.01089336733074995,0.014278718178076832,0.2335304199977607,0.34048438328573866,0.04808454085459321,1.23221979117698,0.9968159794807434
0.34,settle,walking,True,-1.797211302283942,-0.6498820207068905,0.1212863945301084,0.01251248224186864,0.010099682683612096,0.016079981410521967,0.23394531585771794,0.3393518882278235,0.023250139247568774,1.2676096329592905,0.9969621300697327
0.36,settle,walking,True,-1.7969049431367874,-0.6496932390654154,0.12154888109916112,0.01570974276594877,0.009057832986762698,0.01813395588911493,0.23421047458619654,0.3376145739719242,-0.0015106203318676374,1.2741796875979183,0.9971179366111755
0.38,settle,walking,True,-1.7965495001273724,-0.6495335728808822,0.12170917090348977,0.01826300813908713,0.00708991314943617,0.01959092480601441,0.23435737776599952,0.33555375004595617,-0.020608786251693306,1.255783801953561,0.9972785115242004
0.4,settle,walking,True,-1.7961686280777833,-0.6494172917327283,0.12179164839716955,0.019192502312027765,0.004693841451766731,0.019758144967873748,0.23441933448701802,0.33346614203494307,-0.02619750090027974,1.2256290120859137,0.9974310994148254
0.42,settle,walking,True,-1.7957725870181123,-0.6493407431620378,0.12181105495149289,0.02008998407316623,0.0028279896380757207,0.020288050311775562,0.23441686069557174,0.3315788113045981,-0.03325015313873603,1.1881189679178161,0.9975718259811401
0.44,settle,walking,True,-1.795362594428496,-0.6492939459238535,0.1217833838153261,0.0208447665186693,0.0014424024893443497,0.020894612132296292,0.23436776932896275,0.3300201723310665,-0.03894969641163645,1.1427209883192984,0.9977061152458191
0.46,settle,walking,True,-1.7949450956621382,-0.6492769196504111,0.12172902346631585,0.02101429892622769,-0.00027551662374860535,0.02101610498572026,0.2342914294998854,0.32880143652624094,-0.03284718562141454,1.099153897519545,0.9978321194648743
0.48,settle,walking,True,-1.7945243442138903,-0.649292615225501,0.12166173032374479,0.02129675007971379,-0.0017123023996169701,0.02136547550291178,0.23420591087803008,0.3278896492354537,-0.02462819963447943,1.0653519657862327,0.9979425668716431
0.5,settle,walking,True,-1.794096250108896,-0.6493277162385469,0.12158650062851808,0.02145001535795137,-0.002369317449888521,0.021580473211556227,0.23411477844596487,0.3272556622054858,-0.020027167050227525,1.038972071926251,0.9980442523956299
0.52,settle,walking,True,-1.7936768764214492,-0.6493698204899137,0.12151132324631489,0.02094572706191798,-0.0025754851868457214,0.021103473792246263,0.2340272205024836,0.3268351503978399,-0.015228911002274673,1.018105121598199,0.9981339573860168
0.54,settle,walking,True,-1.7932604387562192,-0.6494115314362716,0.12143385358888613,0.02099461675297661,-0.002436489780695208,0.021135524953400098,0.23394051016165146,0.3265879920148727,-0.013425243774752505,1.0004318043934983,0.9982172250747681
0.56,settle,walking,True,-1.7928516029822137,-0.6494415836190408,0.12135664018708797,0.020369297184671488,-0.00156558302256453,0.020429373901272845,0.233855307179613,0.32646313734947374,-0.024360192090821523,0.9761153116322847,0.9983004331588745
0.58,settle,walking,True,-1.7924519231829934,-0.6494568712757806,0.12128344780908773,0.019945868049474725,-0.0009994851348341044,0.019970894391133587,0.23377370937962214,0.32640099521647326,-0.030835244758743434,0.9411363052434027,0.9983824491500854
0.6,settle,walking,True,-1.792057270598044,-0.649462963247715,0.12121560419159794,0.019833135742734036,-0.0004583284900201547,0.019838430845066313,0.23369816130782184,0.3263517628431601,-0.03119386419700826,0.9037945867365335,0.9984648823738098
0.62,settle,walking,True,-1.7916596604963164,-0.6494568493926705,0.12114937078790354,0.02016093178738468,0.00020568318611739357,0.02016198095695533,0.23362392905504611,0.32630428626068253,-0.030478293024400645,0.866749030141791,0.9985525012016296
0.64,settle,walking,True,-1.7912483313794847,-0.6494367385121674,0.12108281824332003,0.021102563162323625,0.0009233862242111212,0.021122755836749163,0.23354851348626984,0.32625717040357893,-0.030469207540963657,0.8297530413891263,0.9986486434936523
